notebook_title,count_context,context,average_context
Notizbuch D1,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch D1,171,.//tei:sourceDoc//tei:surface,2.0
Notizbuch D1,90,.//tei:sourceDoc//tei:add,2.0
Notizbuch D1,315,.//tei:sourceDoc//tei:zone,2.0
Notizbuch D1,1523,.//tei:sourceDoc//tei:line,2.0
Notizbuch D1,1169,.//tei:sourceDoc//tei:seg,2.0
Notizbuch D1,1,.//tei:abstract,2.0
Notizbuch D7,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch D7,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch D7,152,.//tei:sourceDoc//tei:surface,2.0
Notizbuch D7,132,.//tei:sourceDoc//tei:add,2.0
Notizbuch D7,393,.//tei:sourceDoc//tei:zone,2.0
Notizbuch D7,2525,.//tei:sourceDoc//tei:line,2.0
Notizbuch D7,1529,.//tei:sourceDoc//tei:seg,2.0
Notizbuch D7,1,.//tei:abstract,2.0
Notizbuch E3,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
Notizbuch E3,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
Notizbuch E3,143,.//tei:sourceDoc//tei:surface,2.0
Notizbuch E3,110,.//tei:sourceDoc//tei:add,2.0
Notizbuch E3,377,.//tei:sourceDoc//tei:zone,2.0
Notizbuch E3,1696,.//tei:sourceDoc//tei:line,2.0
Notizbuch E3,897,.//tei:sourceDoc//tei:seg,2.0
Notizbuch E3,1,.//tei:abstract,2.0
Notizbuch B8,18,.//tei:sourceDoc//tei:note[@type='editorial'],21.94
Notizbuch B8,1,.//tei:sourceDoc//tei:note[@type='authorial'],3.0
Notizbuch B8,134,.//tei:sourceDoc//tei:surface,3.0
Notizbuch B8,20,.//tei:sourceDoc//tei:add,3.0
Notizbuch B8,287,.//tei:sourceDoc//tei:zone,3.0
Notizbuch B8,1101,.//tei:sourceDoc//tei:line,3.0
Notizbuch B8,648,.//tei:sourceDoc//tei:seg,3.0
Notizbuch B8,1,.//tei:abstract,2.0
Notizbuch A1,24,.//tei:sourceDoc//tei:note[@type='editorial'],41.96
Notizbuch A1,1,.//tei:sourceDoc//tei:note[@type='authorial'],14.0
Notizbuch A1,134,.//tei:sourceDoc//tei:surface,14.0
Notizbuch A1,59,.//tei:sourceDoc//tei:add,14.0
Notizbuch A1,292,.//tei:sourceDoc//tei:zone,14.0
