filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
16q91,Notizbuch D1,19.05.1864-26.05.1864,1864,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,12
1zzdz,Notizbuch D7,1871,1871,,7,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,25
1zzdz,Notizbuch D7,1871,1871,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,2
1zzdz,Notizbuch D7,1871,1871,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzdz,Notizbuch D7,1871,1871,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,2
1zzf3,Notizbuch E3,,,,20,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,12
1zzf3,Notizbuch E3,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,3
1zzf3,Notizbuch E3,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,15
1zzf3,Notizbuch E3,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,15
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,13,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,18
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,29
22jtt,Notizbuch B8,1882-01-03 1882-01-10 1882-02-07 1882-02-11 1882-02-28 1882-03-06 1882-03-09 1882-03-10 1882-03-12 1882-03-14 1882-03-29,,1881,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,23
1zzdk,Notizbuch A1,1864,1864,,27,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,23
1zzdk,Notizbuch A1,1864,1864,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,18
1zzdk,Notizbuch A1,1864,1864,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzdk,Notizbuch A1,1864,1864,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,18
1zzf0,Notizbuch D8, ,1871,,9,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,12
1zzf0,Notizbuch D8, ,1871,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,2
1zzf0,Notizbuch D8, ,1871,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1zzf0,Notizbuch D8, ,1871,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,2
2128s,Notizbuch D9, ,1871,,4,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,43
2128s,Notizbuch D9, ,1871,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,2
2128s,Notizbuch D9, ,1871,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
2128s,Notizbuch D9, ,1871,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,2
22jtx,Notizbuch B15,1883-01-25 1883-01-31 1883-02-09 1884-04-20 1884-04-22 1884-05-08 1884-05-17 1884-09-04 1886-02-06 1886-03-03,,,30,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,14
22jtx,Notizbuch B15,1883-01-25 1883-01-31 1883-02-09 1884-04-20 1884-04-22 1884-05-08 1884-05-17 1884-09-04 1886-02-06 1886-03-03,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtx,Notizbuch B15,1883-01-25 1883-01-31 1883-02-09 1884-04-20 1884-04-22 1884-05-08 1884-05-17 1884-09-04 1886-02-06 1886-03-03,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,32
22jtx,Notizbuch B15,1883-01-25 1883-01-31 1883-02-09 1884-04-20 1884-04-22 1884-05-08 1884-05-17 1884-09-04 1886-02-06 1886-03-03,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,35
1rhdm,Notizbuch C1,1865,1865,,5,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,24
1rhdm,Notizbuch C1,1865,1865,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,9
1rhdm,Notizbuch C1,1865,1865,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
1rhdm,Notizbuch C1,1865,1865,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,10
22jtj,Notizbuch B2,1879-11-22 1879-11-27 1879-12-02 1879-12-06 1879-12-17 1879-12-20 1879-12-31,,,16,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,15
22jtj,Notizbuch B2,1879-11-22 1879-11-27 1879-12-02 1879-12-06 1879-12-17 1879-12-20 1879-12-31,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtj,Notizbuch B2,1879-11-22 1879-11-27 1879-12-02 1879-12-06 1879-12-17 1879-12-20 1879-12-31,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,43
22jtj,Notizbuch B2,1879-11-22 1879-11-27 1879-12-02 1879-12-06 1879-12-17 1879-12-20 1879-12-31,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,37
22jtv,Notizbuch A4,,,,5,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,56
22jtv,Notizbuch A4,,,,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,9
22jtv,Notizbuch A4,,,,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,1
22jtv,Notizbuch A4,,,,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,8
22jtd,Notizbuch B10,1882-09-24 1882-10-16 1882-11-07 1882-11-15 1882-12-09 1883-01-19 1883-02-07,,1882,11,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,20
22jtd,Notizbuch B10,1882-09-24 1882-10-16 1882-11-07 1882-11-15 1882-12-09 1883-01-19 1883-02-07,,1882,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtd,Notizbuch B10,1882-09-24 1882-10-16 1882-11-07 1882-11-15 1882-12-09 1883-01-19 1883-02-07,,1882,1,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,21
22jtd,Notizbuch B10,1882-09-24 1882-10-16 1882-11-07 1882-11-15 1882-12-09 1883-01-19 1883-02-07,,1882,1,.//tei:sourceDesc//tei:list[@type='Fontane_Blätter']/tei:item,13
22jtn,Notizbuch E5,1878-07 1878-07-17 1878-07-27 1879-01-17,,1879,17,.//tei:sourceDesc//tei:list[@type='editorial']/tei:item,14
22jtn,Notizbuch E5,1878-07 1878-07-17 1878-07-27 1879-01-17,,1879,1,.//tei:sourceDesc//tei:list[@type='authorial']/tei:item,1
22jtn,Notizbuch E5,1878-07 1878-07-17 1878-07-27 1879-01-17,,1879,2,.//tei:sourceDesc//tei:list[@type='Friedrich_Fontane']/tei:item,4
