filename,notebook_title,date_e,date_a,date_f,count_context,context,average_context
22jtr,Notizbuch A13,,,,1,.//tei:abstract,2
1zzdx,Notizbuch D6,1870,1870,,22,.//tei:sourceDoc//tei:note[@type='editorial'],21
1zzdx,Notizbuch D6,1870,1870,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1zzdx,Notizbuch D6,1870,1870,,163,.//tei:sourceDoc//tei:surface,40
1zzdx,Notizbuch D6,1870,1870,,115,.//tei:sourceDoc//tei:add,40
1zzdx,Notizbuch D6,1870,1870,,536,.//tei:sourceDoc//tei:zone,40
1zzdx,Notizbuch D6,1870,1870,,2246,.//tei:sourceDoc//tei:line,40
1zzdx,Notizbuch D6,1870,1870,,1603,.//tei:sourceDoc//tei:seg,40
1zzdx,Notizbuch D6,1870,1870,,1,.//tei:abstract,51
1zzdm,Notizbuch A3,,,,1,.//tei:sourceDoc//tei:note[@type='editorial'],79
1zzdm,Notizbuch A3,,,,2,.//tei:sourceDoc//tei:note[@type='authorial'],18
1zzdm,Notizbuch A3,,,,202,.//tei:sourceDoc//tei:surface,19
1zzdm,Notizbuch A3,,,,162,.//tei:sourceDoc//tei:add,19
1zzdm,Notizbuch A3,,,,782,.//tei:sourceDoc//tei:zone,19
1zzdm,Notizbuch A3,,,,2517,.//tei:sourceDoc//tei:line,19
1zzdm,Notizbuch A3,,,,1698,.//tei:sourceDoc//tei:seg,19
1zzdm,Notizbuch A3,,,,1,.//tei:abstract,2
2128d,Notizbuch A2,1873,1873,,2,.//tei:sourceDoc//tei:note[@type='editorial'],26
2128d,Notizbuch A2,1873,1873,,1,.//tei:sourceDoc//tei:note[@type='authorial'],8
2128d,Notizbuch A2,1873,1873,,181,.//tei:sourceDoc//tei:surface,8
2128d,Notizbuch A2,1873,1873,,117,.//tei:sourceDoc//tei:add,8
2128d,Notizbuch A2,1873,1873,,726,.//tei:sourceDoc//tei:zone,8
2128d,Notizbuch A2,1873,1873,,2174,.//tei:sourceDoc//tei:line,8
2128d,Notizbuch A2,1873,1873,,1096,.//tei:sourceDoc//tei:seg,8
2128d,Notizbuch A2,1873,1873,,1,.//tei:abstract,1
1rhds,Notizbuch E1,1874 1878,1874,,0,.//tei:sourceDoc//tei:note[@type='editorial'],0
1rhds,Notizbuch E1,1874 1878,1874,,0,.//tei:sourceDoc//tei:note[@type='authorial'],0
1rhds,Notizbuch E1,1874 1878,1874,,179,.//tei:sourceDoc//tei:surface,1
1rhds,Notizbuch E1,1874 1878,1874,,15,.//tei:sourceDoc//tei:add,1
1rhds,Notizbuch E1,1874 1878,1874,,200,.//tei:sourceDoc//tei:zone,1
1rhds,Notizbuch E1,1874 1878,1874,,474,.//tei:sourceDoc//tei:line,1
1rhds,Notizbuch E1,1874 1878,1874,,301,.//tei:sourceDoc//tei:seg,1
